penjualan,persediaan,produksi
60.0,482,59.0
11.0,544,73.0
70.0,511,37.0
80.0,431,73.0
40.0,467,76.0
1.0,727,261.0
50.0,677,73.0
40.0,637,73.0
57.0,758,121.0
10.0,748,73.0
60.0,688,73.0
40.0,648,73.0
57.0,698,50.0
70.0,618,73.0
40.0,578,73.0
10.0,568,73.0
10.0,587,29.0
40.0,566,19.0
2.0,710,146.0
1.0,815,106.0
57.0,913,98.0
57.0,954,41.0
40.0,914,73.0
160.0,754,73.0
43.0,711,73.0
20.0,691,73.0
60.0,631,73.0
178.0,540,87.0
21.0,705,186.0
57.0,813,108.0
42.0,771,73.0
40.0,731,73.0
53.0,722,44.0
70.0,652,73.0
206.0,446,73.0
29.0,540,123.0
61.0,676,197.0
2.0,674,73.0
70.0,677,73.0
57.0,767,90.0
60.0,707,73.0
10.0,697,73.0
60.0,637,73.0
