Data,Jarak,Cluster
35.0,0.012618342910758962,2
78.0,0.01120714864237201,0
66.0,0.30399390692434397,0
57.0,0.5403946985993809,0
110.0,0.8517432968202813,0
69.0,0.22519364303266498,0
101.0,0.6153425051452444,0
29.0,0.17021887069411695,2
28.0,0.19648562532467662,2
24.0,0.30155264384691527,2
73.0,0.12012662451042631,0
45.0,0.25004920339483766,2
68.0,0.25146039766322464,0
75.0,0.06759311524930699,0
49.0,0.35511622191707637,2
16.0,0.5116866808913926,2
45.0,0.25004920339483766,2
54.0,0.4864499950698747,2
55.0,0.5127167497004343,2
76.0,0.041326360618747324,0
92.0,0.37894171347020733,0
58.0,0.5141279439688213,0
58.0,0.5141279439688213,0
32.0,0.09141860680243796,2
55.0,0.5127167497004343,2
84.0,0.16880767642573,0
49.0,0.35511622191707637,2
92.0,0.37894171347020733,0
127.0,0.9291864450560482,1
78.0,0.01120714864237201,0
28.0,0.19648562532467662,2
137.0,0.6665188987504516,1
75.0,0.06759311524930699,0
84.0,0.16880767642573,0
73.0,0.12012662451042631,0
74.0,0.09385986987986665,0
76.0,0.041326360618747324,0
36.0,0.013648411719800703,2
70.0,0.19892688840210532,0
163.0,0.016416721644099793,1
34.0,0.03888509754131863,2
57.0,0.5403946985993809,0
136.0,0.6927856533810112,1
249.0,2.275357619872231,1
73.0,0.12012662451042631,0
224.0,1.6186887541082393,1
47.0,0.30258271265595704,2
44.0,0.22378244876427802,2
90.0,0.326408204209088,0
73.0,0.12012662451042631,0
76.0,0.041326360618747324,0
76.0,0.041326360618747324,0
88.0,0.2738746949479687,0
144.0,0.48265161633653386,1
135.0,0.7190524080115708,1
48.0,0.32884946728651665,2
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
141.0,0.5614518802282128,1
91.0,0.35267495883964767,0
84.0,0.16880767642573,0
40.0,0.11871543024203937,2
61.0,0.4353276800771423,0
70.0,0.19892688840210532,0
45.0,0.25004920339483766,2
94.0,0.43147522273132666,0
140.0,0.5877186348587725,1
58.0,0.5141279439688213,0
73.0,0.12012662451042631,0
62.0,0.4090609254465826,0
135.0,0.7190524080115708,1
139.0,0.6139853894893322,1
129.0,0.8766529357949289,1
48.0,0.32884946728651665,2
34.0,0.03888509754131863,2
73.0,0.12012662451042631,0
35.0,0.012618342910758962,2
29.0,0.17021887069411695,2
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
107.0,0.7729430329286023,0
100.0,0.5890757505146846,0
101.0,0.6153425051452444,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
103.0,0.6678760144063637,0
73.0,0.12012662451042631,0
126.0,0.9554531996866078,1
56.0,0.5389835043309941,2
112.0,0.9042768060814006,0
35.0,0.012618342910758962,2
63.0,0.38279417081602296,0
53.0,0.460183240439315,2
66.0,0.30399390692434397,0
24.0,0.30155264384691527,2
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
41.0,0.14498218487259903,2
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
60.0,0.46159443470770195,0
48.0,0.32884946728651665,2
38.0,0.06618192098092003,2
97.0,0.5102754866230057,0
32.0,0.09141860680243796,2
110.0,0.8517432968202813,0
13.0,0.5904869447830716,2
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
90.0,0.326408204209088,0
70.0,0.19892688840210532,0
102.0,0.641609259775804,0
73.0,0.12012662451042631,0
27.0,0.22275237995523628,2
48.0,0.32884946728651665,2
73.0,0.12012662451042631,0
21.0,0.38035290773859426,2
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
42.0,0.1712489395031587,2
62.0,0.4090609254465826,0
77.0,0.015059605988187655,0
73.0,0.12012662451042631,0
19.0,0.4328864169997136,2
71.0,0.17266013377154565,0
49.0,0.35511622191707637,2
77.0,0.015059605988187655,0
27.0,0.22275237995523628,2
106.0,0.7466762782980426,0
74.0,0.09385986987986665,0
53.0,0.460183240439315,2
75.0,0.06759311524930699,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
75.0,0.06759311524930699,0
42.0,0.1712489395031587,2
94.0,0.43147522273132666,0
41.0,0.14498218487259903,2
25.0,0.2752858892163556,2
43.0,0.19751569413371836,2
45.0,0.25004920339483766,2
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
42.0,0.1712489395031587,2
84.0,0.16880767642573,0
36.0,0.013648411719800703,2
27.0,0.22275237995523628,2
103.0,0.6678760144063637,0
70.0,0.19892688840210532,0
84.0,0.16880767642573,0
73.0,0.12012662451042631,0
70.0,0.19892688840210532,0
294.0,3.457361578247416,1
39.0,0.0924486756114797,2
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
43.0,0.19751569413371836,2
93.0,0.405208468100767,0
82.0,0.11627416716461067,0
53.0,0.460183240439315,2
73.0,0.12012662451042631,0
23.0,0.32781939847747493,2
36.0,0.013648411719800703,2
73.0,0.12012662451042631,0
21.0,0.38035290773859426,2
73.0,0.12012662451042631,0
49.0,0.35511622191707637,2
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
106.0,0.7466762782980426,0
103.0,0.6678760144063637,0
127.0,0.9291864450560482,1
79.0,0.03747390327293167,0
73.0,0.12012662451042631,0
47.0,0.30258271265595704,2
218.0,1.4610882263248814,1
73.0,0.12012662451042631,0
108.0,0.7992097875591619,0
73.0,0.12012662451042631,0
77.0,0.015059605988187655,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
4.0,0.8268877364581086,2
33.0,0.0651518521718783,2
101.0,0.6153425051452444,0
83.0,0.14254092179517033,0
79.0,0.03747390327293167,0
73.0,0.12012662451042631,0
27.0,0.22275237995523628,2
73.0,0.12012662451042631,0
76.0,0.041326360618747324,0
73.0,0.12012662451042631,0
224.0,1.6186887541082393,1
23.0,0.32781939847747493,2
77.0,0.015059605988187655,0
45.0,0.25004920339483766,2
40.0,0.11871543024203937,2
60.0,0.46159443470770195,0
115.0,0.9830770699730796,0
73.0,0.12012662451042631,0
137.0,0.6665188987504516,1
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
134.0,0.7453191626421305,1
100.0,0.5890757505146846,0
76.0,0.041326360618747324,0
25.0,0.2752858892163556,2
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
27.0,0.22275237995523628,2
59.0,0.4878611893382616,0
73.0,0.12012662451042631,0
37.0,0.03991516635036037,2
73.0,0.12012662451042631,0
76.0,0.041326360618747324,0
261.0,2.590558675438947,1
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
121.0,1.0867869728394062,1
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
50.0,0.381382976547636,2
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
29.0,0.17021887069411695,2
19.0,0.4328864169997136,2
146.0,0.43011810707541454,1
106.0,0.7466762782980426,0
98.0,0.5365422412535653,0
41.0,0.14498218487259903,2
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
87.0,0.247607940317409,0
186.0,0.6205520781469721,1
108.0,0.7992097875591619,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
44.0,0.22378244876427802,2
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
123.0,1.0342534635782867,1
197.0,0.9094863790831285,1
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
90.0,0.326408204209088,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
