Data,Jarak,Cluster
96.0,0.484008731992446,0
61.0,0.4353276800771423,0
87.0,0.247607940317409,0
47.0,0.30258271265595704,2
99.0,0.562808995884125,0
28.0,0.19648562532467662,2
23.0,0.32781939847747493,2
8.0,0.7218207179358699,2
10.0,0.6692872086747506,2
17.0,0.4854199262608329,2
18.0,0.4591531716302733,2
25.0,0.2752858892163556,2
34.0,0.03888509754131863,2
27.0,0.22275237995523628,2
42.0,0.1712489395031587,2
73.0,0.12012662451042631,0
46.0,0.2763159580253974,2
64.0,0.3565274161854633,0
30.0,0.1439521160635573,2
61.0,0.4353276800771423,0
57.0,0.5403946985993809,0
30.0,0.1439521160635573,2
29.0,0.17021887069411695,2
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
64.0,0.3565274161854633,0
55.0,0.5127167497004343,2
88.0,0.2738746949479687,0
97.0,0.5102754866230057,0
51.0,0.4076497311781957,2
32.0,0.09141860680243796,2
75.0,0.06759311524930699,0
62.0,0.4090609254465826,0
99.0,0.562808995884125,0
103.0,0.6678760144063637,0
105.0,0.720409523667483,0
33.0,0.0651518521718783,2
11.0,0.643020454044191,2
60.0,0.46159443470770195,0
130.0,0.8503861811643691,1
123.0,1.0342534635782867,1
91.0,0.35267495883964767,0
87.0,0.247607940317409,0
68.0,0.25146039766322464,0
150.0,0.3250510885531758,1
81.0,0.090007412534051,0
148.0,0.37758459781429515,1
96.0,0.484008731992446,0
72.0,0.146393379140986,0
36.0,0.013648411719800703,2
24.0,0.30155264384691527,2
73.0,0.12012662451042631,0
73.0,0.12012662451042631,0
218.0,1.4610882263248814,1
61.0,0.4353276800771423,0
43.0,0.19751569413371836,2
72.0,0.146393379140986,0
26.0,0.24901913458579594,2
79.0,0.03747390327293167,0
101.0,0.6153425051452444,0
66.0,0.30399390692434397,0
52.0,0.43391648580875536,2
51.0,0.4076497311781957,2
73.0,0.12012662451042631,0
27.0,0.22275237995523628,2
73.0,0.12012662451042631,0
45.0,0.25004920339483766,2
27.0,0.22275237995523628,2
26.0,0.24901913458579594,2
64.0,0.3565274161854633,0
100.0,0.5890757505146846,0
134.0,0.7453191626421305,1
99.0,0.562808995884125,0
